user_login,user_email,source_user_id,user_pass,user_nicename,user_url,user_registered,display_name,role,nickname,first_name,last_name,description,rich_editing,syntax_highlighting,comment_shortcuts,admin_color,use_ssl,show_admin_bar_front,locale,wp_capabilities,wp_user_level,dismissed_wp_pointers,show_welcome_panel,wp_dashboard_quick_press_last_post_id,community-events-location,elementor_introduction,wp_yoast_notifications,_yoast_wpseo_profile_updated,facebook,instagram,linkedin,myspace,pinterest,soundcloud,tumblr,twitter,youtube,wikipedia,session_tokens
milan,themika87@gmail.com,1,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,milan,http://localhost/hladnjaca/wordpress,2/21/2022 10:59,milan,administrator,milan,,,,TRUE,TRUE,FALSE,fresh,0,TRUE,,"a:1:{s:13:""administrator"";b:1;}",10,theme_editor_notice,1,4,"a:1:{s:2:""ip"";s:9:""127.0.0.0"";}","a:1:{s:18:""yoast-introduction"";b:1;}","a:2:{i:0;a:2:{s:7:""message"";s:349:""<p>We see that you enabled automatic updates for WordPress. We recommend that you do this for Yoast SEO as well. This way we can guarantee that WordPress and Yoast SEO will continue to run smoothly together. <a href=""http://localhost/hladnjaca/wordpress/wp-admin/plugins.php"">Go to your plugins overview to enable auto-updates for Yoast SEO.</a></p>"";s:7:""options"";a:10:{s:4:""type"";s:7:""warning"";s:2:""id"";s:17:""wpseo-auto-update"";s:4:""user"";O:7:""WP_User"":8:{s:4:""data"";O:8:""stdClass"":10:{s:2:""ID"";s:1:""1"";s:10:""user_login"";s:5:""milan"";s:9:""user_pass"";s:34:""$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41"";s:13:""user_nicename"";s:5:""milan"";s:10:""user_email"";s:19:""themika87@gmail.com"";s:8:""user_url"";s:36:""http://localhost/hladnjaca/wordpress"";s:15:""user_registered"";s:19:""2022-02-21 10:59:08"";s:19:""user_activation_key"";s:0:"""";s:11:""user_status"";s:1:""0"";s:12:""display_name"";s:5:""milan"";}s:2:""ID"";i:1;s:4:""caps"";a:1:{s:13:""administrator"";b:1;}s:7:""cap_key"";s:15:""wp_capabilities"";s:5:""roles"";a:1:{i:0;s:13:""administrator"";}s:7:""allcaps"";a:63:{s:13:""switch_themes"";b:1;s:11:""edit_themes"";b:1;s:16:""activate_plugins"";b:1;s:12:""edit_plugins"";b:1;s:10:""edit_users"";b:1;s:10:""edit_files"";b:1;s:14:""manage_options"";b:1;s:17:""moderate_comments"";b:1;s:17:""manage_categories"";b:1;s:12:""manage_links"";b:1;s:12:""upload_files"";b:1;s:6:""import"";b:1;s:15:""unfiltered_html"";b:1;s:10:""edit_posts"";b:1;s:17:""edit_others_posts"";b:1;s:20:""edit_published_posts"";b:1;s:13:""publish_posts"";b:1;s:10:""edit_pages"";b:1;s:4:""read"";b:1;s:8:""level_10"";b:1;s:7:""level_9"";b:1;s:7:""level_8"";b:1;s:7:""level_7"";b:1;s:7:""level_6"";b:1;s:7:""level_5"";b:1;s:7:""level_4"";b:1;s:7:""level_3"";b:1;s:7:""level_2"";b:1;s:7:""level_1"";b:1;s:7:""level_0"";b:1;s:17:""edit_others_pages"";b:1;s:20:""edit_published_pages"";b:1;s:13:""publish_pages"";b:1;s:12:""delete_pages"";b:1;s:19:""delete_others_pages"";b:1;s:22:""delete_published_pages"";b:1;s:12:""delete_posts"";b:1;s:19:""delete_others_posts"";b:1;s:22:""delete_published_posts"";b:1;s:20:""delete_private_posts"";b:1;s:18:""edit_private_posts"";b:1;s:18:""read_private_posts"";b:1;s:20:""delete_private_pages"";b:1;s:18:""edit_private_pages"";b:1;s:18:""read_private_pages"";b:1;s:12:""delete_users"";b:1;s:12:""create_users"";b:1;s:17:""unfiltered_upload"";b:1;s:14:""edit_dashboard"";b:1;s:14:""update_plugins"";b:1;s:14:""delete_plugins"";b:1;s:15:""install_plugins"";b:1;s:13:""update_themes"";b:1;s:14:""install_themes"";b:1;s:11:""update_core"";b:1;s:10:""list_users"";b:1;s:12:""remove_users"";b:1;s:13:""promote_users"";b:1;s:18:""edit_theme_options"";b:1;s:13:""delete_themes"";b:1;s:6:""export"";b:1;s:20:""wpseo_manage_options"";b:1;s:13:""administrator"";b:1;}s:6:""filter"";N;s:16:""WP_Usersite_id"";i:1;}s:5:""nonce"";N;s:8:""priority"";d:0.8;s:9:""data_json"";a:0:{}s:13:""dismissal_key"";N;s:12:""capabilities"";s:20:""wpseo_manage_options"";s:16:""capability_check"";s:3:""all"";s:14:""yoast_branding"";b:0;}}i:1;a:2:{s:7:""message"";O:61:""Yoast\WP\SEO\Presenters\Admin\Indexing_Notification_Presenter"":3:{s:18:""*total_unindexed"";i:3;s:9:""*reason"";s:26:""permalink_settings_changed"";s:20:""*short_link_helper"";O:38:""Yoast\WP\SEO\Helpers\Short_Link_Helper"":2:{s:17:""*options_helper"";O:35:""Yoast\WP\SEO\Helpers\Options_Helper"":0:{}s:17:""*product_helper"";O:35:""Yoast\WP\SEO\Helpers\Product_Helper"":0:{}}}s:7:""options"";a:10:{s:4:""type"";s:7:""warning"";s:2:""id"";s:13:""wpseo-reindex"";s:4:""user"";O:7:""WP_User"":8:{s:4:""data"";O:8:""stdClass"":10:{s:2:""ID"";s:1:""1"";s:10:""user_login"";s:5:""milan"";s:9:""user_pass"";s:34:""$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41"";s:13:""user_nicename"";s:5:""milan"";s:10:""user_email"";s:19:""themika87@gmail.com"";s:8:""user_url"";s:36:""http://localhost/hladnjaca/wordpress"";s:15:""user_registered"";s:19:""2022-02-21 10:59:08"";s:19:""user_activation_key"";s:0:"""";s:11:""user_status"";s:1:""0"";s:12:""display_name"";s:5:""milan"";}s:2:""ID"";i:1;s:4:""caps"";a:1:{s:13:""administrator"";b:1;}s:7:""cap_key"";s:15:""wp_capabilities"";s:5:""roles"";a:1:{i:0;s:13:""administrator"";}s:7:""allcaps"";a:63:{s:13:""switch_themes"";b:1;s:11:""edit_themes"";b:1;s:16:""activate_plugins"";b:1;s:12:""edit_plugins"";b:1;s:10:""edit_users"";b:1;s:10:""edit_files"";b:1;s:14:""manage_options"";b:1;s:17:""moderate_comments"";b:1;s:17:""manage_categories"";b:1;s:12:""manage_links"";b:1;s:12:""upload_files"";b:1;s:6:""import"";b:1;s:15:""unfiltered_html"";b:1;s:10:""edit_posts"";b:1;s:17:""edit_others_posts"";b:1;s:20:""edit_published_posts"";b:1;s:13:""publish_posts"";b:1;s:10:""edit_pages"";b:1;s:4:""read"";b:1;s:8:""level_10"";b:1;s:7:""level_9"";b:1;s:7:""level_8"";b:1;s:7:""level_7"";b:1;s:7:""level_6"";b:1;s:7:""level_5"";b:1;s:7:""level_4"";b:1;s:7:""level_3"";b:1;s:7:""level_2"";b:1;s:7:""level_1"";b:1;s:7:""level_0"";b:1;s:17:""edit_others_pages"";b:1;s:20:""edit_published_pages"";b:1;s:13:""publish_pages"";b:1;s:12:""delete_pages"";b:1;s:19:""delete_others_pages"";b:1;s:22:""delete_published_pages"";b:1;s:12:""delete_posts"";b:1;s:19:""delete_others_posts"";b:1;s:22:""delete_published_posts"";b:1;s:20:""delete_private_posts"";b:1;s:18:""edit_private_posts"";b:1;s:18:""read_private_posts"";b:1;s:20:""delete_private_pages"";b:1;s:18:""edit_private_pages"";b:1;s:18:""read_private_pages"";b:1;s:12:""delete_users"";b:1;s:12:""create_users"";b:1;s:17:""unfiltered_upload"";b:1;s:14:""edit_dashboard"";b:1;s:14:""update_plugins"";b:1;s:14:""delete_plugins"";b:1;s:15:""install_plugins"";b:1;s:13:""update_themes"";b:1;s:14:""install_themes"";b:1;s:11:""update_core"";b:1;s:10:""list_users"";b:1;s:12:""remove_users"";b:1;s:13:""promote_users"";b:1;s:18:""edit_theme_options"";b:1;s:13:""delete_themes"";b:1;s:6:""export"";b:1;s:20:""wpseo_manage_options"";b:1;s:13:""administrator"";b:1;}s:6:""filter"";N;s:16:""WP_Usersite_id"";i:1;}s:5:""nonce"";N;s:8:""priority"";d:0.8;s:9:""data_json"";a:0:{}s:13:""dismissal_key"";N;s:12:""capabilities"";s:20:""wpseo_manage_options"";s:16:""capability_check"";s:3:""all"";s:14:""yoast_branding"";b:0;}}}",,,,,,,,,,,,"a:1:{s:64:""c9028daf53bd2bce265cf1d51cafb833b23fc7d428f2629670e288d4f6b6a434"";a:4:{s:10:""expiration"";i:1646221848;s:2:""ip"";s:9:""127.0.0.1"";s:2:""ua"";s:77:""Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0"";s:5:""login"";i:1646049048;}}"
milan11,milancvetkovic87@yahoo.com,2,$P$B98irTuOyrcvPHSpkgkVru0PaUCKpE.,milan11,,2/28/2022 10:38,milan mikic,subscriber,milan11,milan,mikic,,TRUE,TRUE,FALSE,fresh,0,TRUE,,"a:1:{s:10:""subscriber"";b:1;}",0,,,,,,,1646044732,,,,,,,,,,,
usr1, usr1@gmail.com,3,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,usr1,,,usr1,subscriber,usr1,usr,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr2,usr2@gmail.com,4,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,usr2,,,usr2,subscriber,usr2,usr,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr3,usr3@gmail.com,5,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,usr3,,,usr3,subscriber,usr3,usr,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr4,usr4@gmail.com,6,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,usr4,,,usr4,subscriber,usr4,usr,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr5,usr5@gmail.com,7,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,usr5,,,usr5,subscriber,usr5,usr,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr6,usr6@gmail.com,8,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,usr6,,,usr6,subscriber,usr6,usr,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr7,usr7@gmail.com,9,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,usr7,,,usr7,subscriber,usr7,usr,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr8,usr8@gmail.com,10,$P$BCuCGGLX/ISrfo.hA8YOVJo0vJquK41,usr8,,,usr8,subscriber,usr8,usr,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
